NV_Warning: Ignoring the invalid profiler config option: gld_throughput
# CUDA_PROFILE_LOG_VERSION 2.0
# CUDA_DEVICE 0 TITAN Xp
# CUDA_CONTEXT 1
# CUDA_PROFILE_CSV 1
# TIMESTAMPFACTOR 150896805b6ce958
method,gputime,cputime,occupancy
memcpyHtoDasync,256344.281,257005.438
memcpyHtoDasync,1.024,18.110
memcpyHtoDasync,1.056,8.213
memcpyHtoDasync,1.152,7.560
scheduler,446.016,33.294,0.500
memcpyHtoDasync,1.056,18.450
memcpyHtoDasync,1.024,10.270
memcpyHtoDasync,1.056,7.380
scheduler,420.800,28.350,0.500
scheduler,442.528,20.420,0.500
scheduler,435.008,17.503,0.500
scheduler,439.808,25.947,0.500
scheduler,422.464,20.083,0.500
scheduler,423.968,17.777,0.500
scheduler,414.304,17.120,0.500
scheduler,425.984,18.156,0.500
scheduler,440.320,21.684,0.500
scheduler,430.048,17.343,0.500
scheduler,440.608,18.646,0.500
scheduler,420.480,17.760,0.500
scheduler,424.960,17.223,0.500
scheduler,362.016,16.750,0.500
scheduler,355.424,16.970,0.500
scheduler,361.536,16.496,0.500
scheduler,343.872,17.187,0.500
scheduler,339.456,19.077,0.500
scheduler,337.056,17.557,0.500
scheduler,368.192,17.213,0.500
scheduler,347.936,17.400,0.500
scheduler,364.256,17.610,0.500
scheduler,363.648,17.400,0.500
scheduler,357.536,17.343,0.500
scheduler,339.264,19.410,0.500
scheduler,352.736,17.790,0.500
scheduler,348.928,17.210,0.500
scheduler,361.536,17.160,0.500
scheduler,363.200,16.457,0.500
scheduler,348.000,17.260,0.500
scheduler,354.784,20.740,0.500
scheduler,346.656,19.283,0.500
scheduler,344.064,17.480,0.500
scheduler,331.360,17.484,0.500
scheduler,362.208,17.123,0.500
scheduler,351.232,17.573,0.500
scheduler,359.872,17.243,0.500
scheduler,371.520,17.174,0.500
scheduler,347.776,18.920,0.500
scheduler,358.144,17.140,0.500
scheduler,350.784,17.000,0.500
scheduler,364.352,16.613,0.500
scheduler,350.496,17.906,0.500
scheduler,322.784,18.347,0.500
scheduler,327.616,19.701,0.500
scheduler,319.456,17.460,0.500
scheduler,324.064,17.673,0.500
scheduler,306.656,17.567,0.500
scheduler,320.544,17.140,0.500
scheduler,324.256,18.330,0.500
scheduler,322.944,17.317,0.500
scheduler,321.152,17.027,0.500
scheduler,332.960,19.493,0.500
scheduler,337.728,17.807,0.500
scheduler,314.176,16.503,0.500
scheduler,314.592,17.040,0.500
scheduler,324.064,17.080,0.500
scheduler,332.000,17.413,0.500
scheduler,323.424,17.326,0.500
scheduler,329.216,17.413,0.500
scheduler,330.272,20.316,0.500
scheduler,322.528,18.536,0.500
scheduler,321.920,17.800,0.500
scheduler,320.480,17.000,0.500
scheduler,314.976,17.193,0.500
scheduler,322.912,17.633,0.500
scheduler,327.296,16.577,0.500
scheduler,321.376,22.636,0.500
scheduler,330.080,18.463,0.500
scheduler,320.352,17.010,0.500
scheduler,334.720,17.240,0.500
scheduler,315.584,17.294,0.500
scheduler,333.440,17.416,0.500
scheduler,322.336,20.733,0.500
scheduler,328.640,17.607,0.500
scheduler,331.232,19.381,0.500
scheduler,321.376,20.953,0.500
scheduler,319.936,17.133,0.500
scheduler,322.656,17.784,0.500
scheduler,321.568,16.533,0.500
scheduler,326.176,17.497,0.500
scheduler,323.008,17.670,0.500
scheduler,308.096,26.683,0.500
scheduler,315.136,19.060,0.500
scheduler,334.240,17.736,0.500
scheduler,330.464,17.813,0.500
scheduler,312.576,17.124,0.500
scheduler,308.896,17.124,0.500
scheduler,350.528,17.220,0.500
scheduler,333.152,16.924,0.500
scheduler,313.664,18.874,0.500
scheduler,314.944,17.820,0.500
scheduler,326.176,16.457,0.500
scheduler,334.112,17.130,0.500
scheduler,324.896,17.824,0.500
scheduler,322.784,17.293,0.500
scheduler,316.768,17.704,0.500
scheduler,323.200,17.717,0.500
scheduler,326.720,19.897,0.500
scheduler,334.624,17.467,0.500
scheduler,317.824,17.736,0.500
scheduler,320.768,17.396,0.500
scheduler,327.840,18.296,0.500
scheduler,330.144,17.693,0.500
scheduler,342.592,17.260,0.500
scheduler,323.616,18.487,0.500
scheduler,319.936,17.870,0.500
scheduler,325.312,17.233,0.500
scheduler,329.088,17.324,0.500
scheduler,321.152,17.540,0.500
scheduler,322.656,17.273,0.500
scheduler,333.088,17.310,0.500
scheduler,338.016,17.410,0.500
scheduler,332.192,19.910,0.500
scheduler,325.248,17.537,0.500
scheduler,329.152,17.306,0.500
scheduler,326.432,20.980,0.500
scheduler,328.288,17.413,0.500
scheduler,330.848,16.853,0.500
scheduler,316.864,18.593,0.500
scheduler,319.360,27.254,0.500
scheduler,322.272,17.830,0.500
scheduler,310.624,17.047,0.500
scheduler,321.984,18.194,0.500
scheduler,315.424,17.353,0.500
scheduler,330.656,17.190,0.500
scheduler,329.408,17.496,0.500
scheduler,330.944,16.927,0.500
scheduler,335.552,19.160,0.500
scheduler,335.648,17.484,0.500
scheduler,321.824,16.954,0.500
scheduler,334.464,20.870,0.500
scheduler,320.448,17.877,0.500
scheduler,334.144,17.230,0.500
scheduler,317.120,17.513,0.500
scheduler,329.088,17.127,0.500
scheduler,325.472,19.376,0.500
scheduler,324.928,17.826,0.500
scheduler,316.384,17.403,0.500
scheduler,326.464,17.414,0.500
scheduler,331.648,17.140,0.500
scheduler,326.944,17.373,0.500
scheduler,329.120,17.663,0.500
scheduler,321.696,26.747,0.500
scheduler,328.416,19.200,0.500
scheduler,321.824,17.947,0.500
scheduler,325.152,17.277,0.500
scheduler,316.768,17.420,0.500
scheduler,316.032,17.697,0.500
scheduler,330.816,17.656,0.500
scheduler,324.704,19.640,0.500
scheduler,331.296,17.937,0.500
scheduler,315.456,17.507,0.500
scheduler,315.616,17.430,0.500
scheduler,330.688,17.560,0.500
scheduler,322.144,17.567,0.500
scheduler,318.560,16.446,0.500
scheduler,325.344,17.300,0.500
scheduler,314.880,23.013,0.500
scheduler,324.800,17.920,0.500
scheduler,335.136,17.614,0.500
scheduler,337.376,17.337,0.500
scheduler,316.448,17.147,0.500
scheduler,335.968,17.290,0.500
scheduler,329.344,18.010,0.500
scheduler,323.328,26.447,0.500
scheduler,335.904,19.243,0.500
scheduler,335.616,16.990,0.500
scheduler,334.816,17.576,0.500
scheduler,311.456,16.484,0.500
scheduler,323.296,17.430,0.500
scheduler,333.824,17.104,0.500
scheduler,326.944,17.343,0.500
scheduler,321.760,19.097,0.500
scheduler,317.568,17.844,0.500
scheduler,318.816,17.153,0.500
scheduler,332.192,17.314,0.500
scheduler,331.776,17.190,0.500
scheduler,324.160,17.467,0.500
scheduler,321.216,20.747,0.500
scheduler,321.120,18.100,0.500
scheduler,314.848,18.997,0.500
scheduler,326.528,16.923,0.500
scheduler,322.720,18.253,0.500
scheduler,321.984,19.283,0.500
scheduler,342.688,18.064,0.500
scheduler,316.576,17.547,0.500
scheduler,338.176,17.787,0.500
scheduler,333.920,19.277,0.500
scheduler,321.120,17.627,0.500
scheduler,326.912,17.367,0.500
scheduler,321.440,16.923,0.500
scheduler,308.576,17.080,0.500
scheduler,331.744,17.020,0.500
scheduler,312.416,16.173,0.500
scheduler,320.416,21.510,0.500
scheduler,334.048,20.330,0.500
scheduler,331.712,17.413,0.500
scheduler,331.488,17.800,0.500
scheduler,330.752,17.366,0.500
scheduler,323.584,17.834,0.500
scheduler,310.432,21.486,0.500
scheduler,327.520,18.133,0.500
scheduler,322.944,17.576,0.500
scheduler,333.952,19.420,0.500
scheduler,326.048,17.790,0.500
scheduler,335.744,18.077,0.500
scheduler,322.784,16.350,0.500
scheduler,319.168,17.837,0.500
scheduler,328.576,17.957,0.500
scheduler,326.144,17.390,0.500
scheduler,323.584,19.680,0.500
scheduler,317.216,17.777,0.500
scheduler,315.552,17.457,0.500
scheduler,326.208,17.677,0.500
scheduler,328.096,17.564,0.500
scheduler,319.424,18.130,0.500
scheduler,341.728,17.390,0.500
scheduler,313.632,17.217,0.500
scheduler,323.008,19.590,0.500
scheduler,325.056,16.663,0.500
scheduler,320.992,17.467,0.500
scheduler,331.680,17.743,0.500
scheduler,312.704,17.593,0.500
scheduler,328.160,17.636,0.500
scheduler,318.048,18.400,0.500
scheduler,339.168,19.823,0.500
scheduler,316.192,17.904,0.500
scheduler,328.928,17.890,0.500
scheduler,324.096,17.293,0.500
scheduler,331.232,17.153,0.500
scheduler,328.768,17.244,0.500
